crash_date,zip_code,latitude,longitude
2020-12-16,NA,40.76989,-73.880455
2020-12-12,11203,40.64981,-73.93503
2020-12-21,NA,40.84525,-73.91499
2020-12-15,11215,40.67146,-73.99103
2020-12-20,10469,40.858574,-73.85124
2020-12-29,NA,40.583534,-73.984184
2020-12-20,11103,40.765957,-73.91551
2020-12-10,10037,40.808224,-73.93673
2020-12-21,11433,40.704033,-73.7938
2020-12-09,NA,40.875122,-73.905174
2020-12-23,11366,40.72301,-73.799965
2020-12-21,11356,40.787846,-73.840096
2020-12-31,NA,40.60559,-74.13178
2020-12-12,11362,40.7525,-73.73742
2020-12-21,10475,40.874123,-73.83347
2020-12-10,11411,40.693497,-73.73491
2020-12-21,NA,40.714622,-73.829704
2020-12-17,11204,40.63192,-73.97939
2020-12-19,10301,40.63623,-74.08488
2020-12-12,10453,40.850018,-73.9107
2020-12-09,NA,40.700356,-73.912575
2020-12-27,11418,40.699314,-73.83157
2020-12-17,10009,40.734974,-73.97987
2020-12-26,NA,40.666866,-73.92853
2020-12-28,10462,40.831554,-73.850975
2020-12-22,11414,40.669876,-73.84741
2020-12-15,11432,40.70742,-73.79716
2020-12-12,11362,40.753704,-73.74445
2020-12-26,10474,40.818913,-73.88728
2020-12-08,NA,40.670006,-73.95328
2020-12-13,NA,40.822163,-73.94242
2020-12-19,NA,40.868473,-73.92404
2020-12-24,11385,40.71042,-73.85964
2020-12-28,11234,40.623,-73.91765
2020-12-22,NA,40.75971,-73.83884
2020-12-16,NA,40.826088,-73.86121
2020-12-11,NA,40.63519,-74.16623
2020-12-28,11226,40.63969,-73.95321
2020-12-12,10466,40.892815,-73.85553
2020-12-14,11218,40.638065,-73.97735
2020-12-29,NA,40.66549,-73.819534
2020-12-12,NA,40.83169,-73.949265
2020-12-26,11207,40.676437,-73.901146
2020-12-31,NA,40.564716,-74.194885
2020-12-18,10466,40.886856,-73.86099
2020-12-23,NA,40.726814,-73.83846
2020-12-17,11220,40.64523,-74.01206
2020-12-31,11207,40.686417,-73.9087
2020-12-23,10469,40.879856,-73.83904
2020-12-10,11203,40.651608,-73.933044
2020-12-17,NA,40.53783,-74.19477
2020-12-21,NA,40.818974,-73.89145
2020-12-27,NA,40.868546,-73.88832
2020-12-11,11211,40.715958,-73.96073
2020-12-23,10455,40.81608,-73.917694
2020-12-16,NA,40.8077,-73.92955
2020-12-09,NA,40.759983,-73.964806
2020-12-30,11368,40.750717,-73.85877
2020-12-15,11385,40.709988,-73.90475
2020-12-19,NA,40.76663,-73.88903
2020-12-19,11378,40.72415,-73.89581
2020-12-16,11355,40.751453,-73.83228
2020-12-27,NA,40.677338,-73.927536
2020-12-11,10032,40.844677,-73.93886
2020-12-16,10013,40.72021,-74.00302
2020-12-28,NA,40.734543,-73.93744
2020-12-24,11214,40.608593,-73.99573
2020-12-19,11360,40.786556,-73.79309
2020-12-14,11428,40.728645,-73.73336
2020-12-24,10458,40.859875,-73.89323
2020-12-24,NA,40.861828,-73.89286
2020-12-19,11385,40.70275,-73.90513
2020-12-12,11211,40.714157,-73.956276
2020-12-11,NA,40.709995,-73.79263
2020-12-30,11201,40.694553,-73.99618
2020-12-15,NA,40.707027,-73.9236
2020-12-10,NA,40.788906,-73.93765
2020-12-20,10002,40.717396,-73.983
2020-12-18,10473,40.823177,-73.842705
2020-12-08,10039,40.81957,-73.934296
2020-12-19,10461,40.854465,-73.84359
2020-12-10,10035,40.800556,-73.94021
2020-12-28,11368,40.75482,-73.84495
2020-12-21,NA,40.83932,-73.91503
